Recipe_name,Cuisine_type,Diet_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,estimated_weigth(g)
"Aunt Rocky’s Sausage & Cheddar Biscuit Snacks (Gluten-Free, Low Carb)",american,keto,142.12,37.8,245.26,2022-10-16,18:09:12,425.18
Aunt Rocky’s Spaghetti Squash Carbonara,italian,keto,107.46,42.39,203.11,2022-10-16,18:09:12,352.96
Aunt Rocky’s Spam Scramble,american,keto,64.52,11.65,77.07,2022-10-16,18:09:05,153.24
Aunt Rocky’s Strawberry Crème Fraîche Instant Keto Dessert,french,keto,0.94,10.41,11.08,2022-10-16,18:08:04,22.43
Aunt Trish's Salad Dressing,american,dash,16.96,25.42,172.45,2022-10-16,20:37:06,214.83
Aunt Trish’s Salad Dressing,american,dash,14.9,14.82,172.03,2022-10-16,20:33:11,201.75
Aunt Trish’s Salad Dressing recipes,american,dash,14.9,14.82,172.03,2022-10-16,20:33:24,201.75
Autoimmune Paleo Pesto,italian,paleo,4.25,14.15,72.9,2022-10-16,17:20:09,91.3
Autumn Apple Pumpkin Soup,american,vegan,16.38,140.73,50.33,2022-10-16,20:10:03,207.44
Autumn Curry with Pumpkin and Chickpeas,indian,vegan,121.86,507.04,158.57,2022-10-16,20:11:52,787.47
Autumn Olive Medley,french,mediterranean,363.39,112.36,306.17,2022-10-16,16:47:44,781.92
"Avocado Cucumber Ginger Salad Recipe [Paleo, Keto, AIP]",american,keto,3.69,19.07,24.77,2022-10-16,18:08:04,47.53
Avocado Cucumber Salad recipes,mediterranean,paleo,15.8,81.26,74.48,2022-10-16,17:30:07,171.54
Avocado Dressing,american,dash,4.18,18.97,118.42,2022-10-16,20:31:17,141.57
Avocado Keto Hummus,mediterranean,keto,19.39,46.51,77.36,2022-10-16,18:00:23,143.26
Avocado Pesto Pasta,italian,vegan,31.84,118.21,296.65,2022-10-16,20:10:44,446.7
"Avocado Tartine with Quail Eggs, Prosciutto & Goat Cheese",italian,dash,33.69,103.03,33.54,2022-10-16,20:35:59,170.26
"Avocado Yogurt Dip {Vegetarian, Keto}",american,keto,16.35,34.24,42.04,2022-10-16,18:03:52,92.63
Avocado and Corn Tostaditas,mexican,dash,23.18,112.72,53.92,2022-10-16,20:38:54,189.82
Avocado hummus & crudités,mediterranean,vegan,55.34,192.09,43.34,2022-10-16,20:09:36,290.77
"Avocado with Pomegranate Molasses, Tomatoes, Citrus, and Basil",american,vegan,11.52,57.04,57.09,2022-10-16,20:12:05,125.65
Avocado-Sprout Toast,american,dash,5.54,17.37,9.62,2022-10-16,20:29:33,32.53
Avocado-Tomato Open-Face Sandwich,american,dash,5.47,19.42,8.72,2022-10-16,20:30:23,33.61
Aztec Chocolate Bark,american,dash,34.28,227.68,134.18,2022-10-16,20:29:20,396.14
BALSAMIC GLAZED FIGS w/PANCETTA & MASCARPONE,american,dash,21.73,268.42,48.52,2022-10-16,20:39:03,338.67
"BBQ Beef Pizza (AIP, Paleo)",italian,paleo,111.23,259.49,110.34,2022-10-16,17:22:52,481.06
BBQ Chicken Sweet Potato Pizza,italian,paleo,112.99,285.71,98.15,2022-10-16,17:24:13,496.85
BBQ Chicken Sweet Potato Skins recipes,american,paleo,119.62,218.24,135.41,2022-10-16,17:29:40,473.27
BBQ Chicken Tacos with Red Cabbage Slaw,mexican,dash,80.86,173.4,13.31,2022-10-16,20:36:59,267.57
BBQ Lentils recipes,american,dash,26.77,127.78,10.4,2022-10-16,20:36:05,164.95
BBQ Loaded Sweet Potatoes - in the crockpot,american,paleo,189.59,221.23,116.19,2022-10-16,17:24:00,527.01
BBQ Pot Stickers,american,dash,136.57,670.24,279.41,2022-10-16,20:32:18,1086.22
BEST Ever Mediterranean Grilled Lamb Chops,mediterranean,mediterranean,280.74,59.41,495.9,2022-10-16,16:45:44,836.05
BEST KETO ITALIAN RAGÚ aka BOLOGNES,italian,keto,113.22,28.98,68.25,2022-10-16,18:06:40,210.45
"BLTA Stuffed Tomatoes - Low Carb, Paleo, Keto, GF recipes",italian,keto,26.2,35.95,110.12,2022-10-16,18:08:31,172.27
"Baby Artichoke, Parsley, and Celery Salad",mediterranean,dash,41.56,140.14,75.12,2022-10-16,20:35:52,256.82
Baby Artichokes with Lemon and Olive Oil,mediterranean,vegan,90.34,307.15,220.77,2022-10-16,20:12:19,618.26
Baby Bok Choy Salad with Mama O's Kimchi Paste,chinese,vegan,6.02,21.02,0.95,2022-10-16,20:04:44,27.99
Baby Takes a Nap Recipe,world,dash,0.0,10.48,0.0,2022-10-16,20:32:24,10.48
Baby Vegetable Antipasto,italian,dash,38.01,117.57,38.46,2022-10-16,20:35:12,194.04
Baby-Artichoke Sandwich,mediterranean,mediterranean,128.75,376.68,160.56,2022-10-16,16:47:11,665.99
Baccala with Tomato and Olives,mediterranean,mediterranean,153.5,161.76,99.42,2022-10-16,16:48:44,414.68
Baccalà in Zimino (Salted Cod with Greens),american,mediterranean,297.23,43.93,53.0,2022-10-16,16:47:31,394.16
Bacon And Tomato Salad,american,dash,57.16,70.62,281.46,2022-10-16,20:38:33,409.24
Bacon Baklava,mediterranean,mediterranean,163.49,823.99,554.46,2022-10-16,16:47:17,1541.94
Bacon Burger Cauliflower Rice Casserole recipes,american,paleo,125.01,32.77,183.92,2022-10-16,17:26:07,341.7
Bacon Cabbage Chuck Roast Stew - Keto Makeover,american,keto,338.74,43.32,399.95,2022-10-16,18:06:34,782.01
Bacon Cheddar Frittata,italian,dash,37.88,9.08,56.85,2022-10-16,20:33:04,103.81
Bacon Cheeseburger Pizza - Keto Recipe,italian,keto,151.43,229.41,179.32,2022-10-16,18:04:59,560.16
Bacon Cups with Keema Beef {KETO FRIENDLY},british,keto,151.07,19.05,293.68,2022-10-16,18:06:20,463.8
"Bacon Ranch Salad, Now In Vegan Form!",american,vegan,37.9,51.12,156.63,2022-10-16,20:03:17,245.65
"Bacon Sausage and Zucchini Casserole (Paleo, Whole30 + Keto)",italian,keto,153.22,37.26,235.3,2022-10-16,18:07:37,425.78
Bacon Swiss Burgers with Tomato and Avocado,american,mediterranean,174.59,97.06,164.78,2022-10-16,16:47:24,436.43
"Bacon Wrapped Asparagus, Keto Style",american,keto,40.04,31.92,146.48,2022-10-16,18:03:52,218.44
Bacon Wrapped Cheese Sticks {keto/low carb},american,keto,58.64,6.42,162.47,2022-10-16,18:06:27,227.53
Bacon Wrapped Chili Dogs,american,paleo,73.79,27.35,199.7,2022-10-16,17:23:33,300.84
Bacon Wrapped Meatloaf,american,keto,232.88,6.28,215.88,2022-10-16,18:09:18,455.04
Bacon and Egg Sandwiches with Caramelized Onions and Arugula,american,dash,37.52,51.14,75.39,2022-10-16,20:36:32,164.05
Bacon and Mushroom Smothered Pork Chops,american,keto,217.87,39.37,244.39,2022-10-16,18:01:37,501.63
"Bacon, Caramelized Onion, and Veggie Quiche {Paleo, GF, DF}",french,paleo,93.25,154.98,219.75,2022-10-16,17:23:46,467.98
"Bacon, Grape and Broccoli Salad",american,paleo,97.12,171.09,379.33,2022-10-16,17:25:00,647.54
Bacon-Broccoli Quiche Cups,french,dash,39.39,10.05,68.11,2022-10-16,20:35:32,117.55
Bacon-Ranch Meatloaf recipes,american,paleo,188.15,36.64,270.76,2022-10-16,17:29:20,495.55
Bacon-Wrapped Keto Meatloaf,american,keto,234.84,39.35,330.09,2022-10-16,17:58:23,604.28
Bacon-Wrapped Scallops With Chili Butter,american,dash,139.74,34.63,186.92,2022-10-16,20:30:50,361.29
Baileys Cherry Cafe,world,dash,1.5,27.77,6.77,2022-10-16,20:31:24,36.04
Bake Me Crazy Chicken with Gravy,american,dash,145.68,76.57,125.32,2022-10-16,20:37:26,347.57
Baked Alaskas,french,dash,115.08,312.14,65.99,2022-10-16,20:37:53,493.21
Baked Almond Feta,mediterranean,vegan,47.14,46.8,154.91,2022-10-16,20:09:23,248.85
Baked Apple Rings with Caramel Sauce,american,dash,20.58,267.05,13.55,2022-10-16,20:36:32,301.18
Baked Banana Chip Encrusted French Toast,french,paleo,152.88,1874.52,385.8,2022-10-16,17:20:09,2413.2
Baked Bolognese,italian,dash,220.24,464.83,266.83,2022-10-16,20:36:12,951.9
Baked Brie with a Keto Crust,french,keto,187.02,31.84,254.44,2022-10-16,18:02:58,473.3
Baked Cheese Spread,american,dash,66.25,36.82,440.83,2022-10-16,20:29:33,543.9
Baked Chicken,american,dash,108.97,0.86,48.36,2022-10-16,20:31:51,158.19
"Baked Chicken Legs with Chickpeas, Olives, and Greens",mediterranean,mediterranean,290.36,192.97,380.9,2022-10-16,16:47:11,864.23
Baked Chicken Tenders,american,dash,142.56,226.86,286.38,2022-10-16,20:37:40,655.8
Baked Crabcakes Recipe,american,dash,86.41,31.56,59.05,2022-10-16,20:35:32,177.02
Baked Eggplant Fries Recipe,french,vegan,61.99,238.33,30.15,2022-10-16,20:06:45,330.47
Baked Feta Cheese with Canned Sardines and Olives,mediterranean,mediterranean,30.47,6.71,79.32,2022-10-16,16:48:44,116.5
Baked French Toast Casserole,french,dash,129.755,659.11,401.345,2022-10-16,20:38:47,1190.21
Baked French Toast Casserole with Maple Syrup,american,dash,128.81,541.41,374.69,2022-10-16,20:38:40,1044.91
Baked FrenchFries with Chipotle Ranch Dip {Paleo & Whole30} recipes,mexican,paleo,17.83,143.96,192.82,2022-10-16,17:23:19,354.61
Baked Ham with Rosemary and Sweet Vermouth,american,mediterranean,450.55,176.05,315.42,2022-10-16,16:46:24,942.02
Baked Hummus,mediterranean,mediterranean,59.63,73.86,114.77,2022-10-16,16:46:11,248.26
Baked Keto Chicken Wings - Sweet & Spicy,south american,keto,241.71,22.98,252.73,2022-10-16,18:06:13,517.42
Baked Keto Chicken Wings - Sweet & Spicy,south american,paleo,241.71,22.98,252.73,2022-10-16,17:30:21,517.42
"Baked Low Carb Zucchini Fries (Paleo, AIP, Keto, Dairy Free)",french,keto,25.33,57.48,97.11,2022-10-16,18:08:51,179.92
"Baked Low Carb Zucchini Fries (Paleo, AIP, Keto, Dairy Free)",french,paleo,25.33,57.48,97.11,2022-10-16,17:23:46,179.92
Baked Mediterranean Quesadillas,mexican,mediterranean,171.37,266.83,201.51,2022-10-16,16:51:46,639.71
Baked Mediterranean Tilapia,mediterranean,mediterranean,110.34,127.93,68.38,2022-10-16,16:53:12,306.65
Baked Pita Chips with Charred Three Onion Dip,mediterranean,dash,63.59,252.6,237.73,2022-10-16,20:39:30,553.92
Baked Potato Soup with Crunchy Potato Skins,american,vegan,36.82,279.22,56.47,2022-10-16,20:10:17,372.51
Baked Ranch Chicken Tenders (Paleo + Whole30),american,paleo,105.57,129.65,146.59,2022-10-16,17:22:18,381.81
Baked Ranch Chicken Tenders recipes,american,paleo,105.57,129.65,146.59,2022-10-16,17:24:13,381.81
Baked Red Snapper in a Mediterranean Tomato Sauce,mediterranean,mediterranean,440.58,109.18,39.36,2022-10-16,16:45:44,589.12
Baked Rice and Cheese,american,dash,149.2,594.04,152.41,2022-10-16,20:34:38,895.65
Baked Salmon with Pesto and Pecans,nordic,paleo,329.12,8.78,251.78,2022-10-16,17:22:52,589.68
Baked Sesame Ginger Chicken recipes,chinese,paleo,356.6,31.62,198.75,2022-10-16,17:25:33,586.97
Baked Shrimp with Tomatoes and Feta,mediterranean,mediterranean,136.89,107.9,60.69,2022-10-16,16:46:31,305.48
Baked Spicy BBQ Adobo Chicken Wings recipes,american,paleo,322.74,131.92,284.0,2022-10-16,17:23:53,738.66
Baked Sweet Potatoes with Spiced Lentil Salad & Lemon Tahini Dressing,mediterranean,vegan,98.97,347.21,116.32,2022-10-16,20:10:17,562.5
"Baked Tuna Melt Jalapeño Poppers (Keto, Gluten-Free)",mexican,keto,294.53,187.42,280.9,2022-10-16,18:08:24,762.85
Baked Vanilla Paleo Donuts,american,paleo,40.41,91.57,140.95,2022-10-16,17:30:21,272.93
Baked Vegan Doughnuts recipes,american,vegan,15.23,304.34,67.71,2022-10-16,20:05:51,387.28
Baked Vegan Mac and Cheese Recipe,american,vegan,140.19,524.38,221.29,2022-10-16,20:02:29,885.86
Baked Yam Fries with Sriracha Hummus (Vegan + GF),american,vegan,33.02,169.41,42.68,2022-10-16,20:07:59,245.11
Baked mini gluten free vegan vanilla donuts,american,vegan,6.74,206.28,51.41,2022-10-16,20:07:46,264.43
Baked tomato and olive risotto,italian,mediterranean,37.17,363.43,39.18,2022-10-16,16:49:45,439.78
"Balsamic Apple Walnut Salad {GF, Low Cal} recipes",american,paleo,7.26,35.93,11.89,2022-10-16,17:24:13,55.08
Balsamic Mushroom Pasta,italian,vegan,69.05,225.51,60.5,2022-10-16,20:11:11,355.06
Balsamic Mushroom Quinoa,south american,dash,27.03,136.63,37.38,2022-10-16,20:35:12,201.04
Balsamic Onion and Thyme Carrots,american,dash,6.59,66.0,28.25,2022-10-16,20:35:05,100.84
Balsamic mustard salad dressing,american,paleo,1.67,38.66,82.05,2022-10-16,17:24:00,122.38
"Balsamic-Braised Pot Roast with Tomatoes, Lemons, Raisins, and Black Olive–Pine Nut Relish",american,mediterranean,280.68,268.31,211.91,2022-10-16,16:48:18,760.9
"Balsamic-Glazed Salmon with Spinach, Olives, and Golden Raisins",nordic,mediterranean,76.13,94.2,72.1,2022-10-16,16:46:37,242.43
Balsamic-glazed scallops,mediterranean,dash,83.39,33.31,49.65,2022-10-16,20:34:25,166.35
Banana Bread for One,american,vegan,2.58,40.25,14.28,2022-10-16,20:06:11,57.11
Banana Cake with Peanut Butter Frosting recipes,american,vegan,33.4,355.7,147.51,2022-10-16,20:06:11,536.61
Banana Chocolate Chip Cake,american,dash,60.67,652.83,176.61,2022-10-16,20:38:07,890.11
Banana Cocoa Snack Cake (Paleo) recipes,american,paleo,68.94,227.74,168.98,2022-10-16,17:22:58,465.66
Banana Cream Pie,american,paleo,20.84,213.135,306.43,2022-10-16,17:20:23,540.4
Banana Heavens Little Pig (Spanish Custard Dessert),mediterranean,vegan,48.41,518.39,148.52,2022-10-16,20:11:32,715.32
Banana chia pudding,british,keto,8.59,22.53,55.6,2022-10-16,18:09:05,86.72
Banana “Ice Cream”,american,vegan,5.11,106.25,1.93,2022-10-16,20:10:30,113.29
Banana-Coconut Cake Recipe,caribbean,vegan,55.36,1063.72,621.42,2022-10-16,20:09:03,1740.5
Bananas Foster,american,dash,17.42,295.9,181.86,2022-10-16,20:33:04,495.18
"Bang Bang Shrimp (Paleo, Whole30, AIP)",japanese,paleo,94.91,24.03,95.1,2022-10-16,17:23:26,214.04
Barbecue Baked Onion Rings,american,dash,32.23,190.67,33.66,2022-10-16,20:36:32,256.56
Barbecue Bloody Mary,american,dash,29.66,296.55,22.83,2022-10-16,20:30:43,349.04
Barbecue Chicken Legs,mediterranean,dash,1017.25,241.93,1002.07,2022-10-16,20:36:46,2261.25
Barbecue Chicken Pizza recipes,italian,paleo,91.36,208.4,50.82,2022-10-16,17:24:26,350.58
Barbecue Chicken Pizza-ii,italian,paleo,91.36,208.4,50.82,2022-10-16,17:25:40,350.58
Barbecue Lentils,american,dash,27.17,132.5,14.97,2022-10-16,20:36:52,174.64
Barbecue Pulled Jackfruit Sandwiches,american,vegan,27.91,406.7,94.66,2022-10-16,20:03:44,529.27
Barbecue Slawpy Jacks,american,vegan,28.7,376.7,56.48,2022-10-16,20:08:06,461.88
Barbecue Wings,american,dash,400.36,49.21,656.96,2022-10-16,20:32:58,1106.53
Barbecued Tofu Burger,asian,vegan,66.13,259.53,41.51,2022-10-16,20:07:46,367.17
Barilla Turkey Sausage Meatball Hero Subs + Giveaway,american,paleo,149.37,161.26,67.43,2022-10-16,17:27:38,378.06
Barley & broccoli risotto with lemon & basil,italian,vegan,18.12,99.9,31.15,2022-10-16,20:09:36,149.17
Basic Balsamic Steak Marinade recipes,american,paleo,97.52,21.4,145.98,2022-10-16,17:24:33,264.9
Basic Chili Paste to Replace Chili Powder Recipe,american,vegan,22.16,24.7,9.29,2022-10-16,20:12:05,56.15
Basil Butter Broiled Oysters,american,dash,115.45,63.68,119.49,2022-10-16,20:34:04,298.62
Basil Scalloped Tomatoes and Croutons recipes,american,vegan,40.71,83.13,49.37,2022-10-16,20:07:59,173.21
Basil Thai Noodles with Bison and Zucchini + Spicy Quick Pickled Cucumber,south east asian,vegan,130.67,270.48,126.89,2022-10-16,20:09:09,528.04
Basil and Sun-Dried Tomato Compound Butter,american,paleo,2.41,5.63,92.42,2022-10-16,17:24:00,100.46
Bay-Scented Vanilla Pudding,british,dash,20.75,110.57,26.23,2022-10-16,20:35:52,157.55
Bbq Meatballs,american,dash,160.95,291.62,175.4,2022-10-16,20:36:32,627.97
Bean & halloumi stew,french,vegan,54.94,133.87,72.08,2022-10-16,20:07:12,260.89
Bean Cabbage Soup,middle eastern,dash,21.49,58.32,8.68,2022-10-16,20:40:10,88.49
Bean and Potato Vegan Enchiladas recipes,american,vegan,65.85,324.88,152.74,2022-10-16,20:03:03,543.47
"Bean, tomato & watercress salad",south american,vegan,98.39,331.35,36.72,2022-10-16,20:09:23,466.46
Bean-Free Paleo Chili,american,paleo,168.33,61.1,198.81,2022-10-16,17:30:28,428.24
Beans and Mushrooms,american,vegan,20.79,96.31,56.46,2022-10-16,20:11:25,173.56
Beautiful Lamb Shanks,middle eastern,dash,370.1,154.13,307.04,2022-10-16,20:38:33,831.27
Beef & Vegetable Casserole,french,dash,124.13,62.52,105.02,2022-10-16,20:35:45,291.67
Beef Back Ribs Keto Style,american,keto,185.8,31.24,316.87,2022-10-16,18:03:45,533.91
Beef Chorizo con Huevo estilo Siete,mediterranean,paleo,133.92,12.88,92.88,2022-10-16,17:21:24,239.68
Beef Crust for Pizza,italian,keto,75.92,4.27,121.14,2022-10-16,18:09:12,201.33
Beef Curry (Paleo),south east asian,paleo,112.87,76.07,111.59,2022-10-16,17:28:33,300.53
Beef Stew,american,mediterranean,168.43,101.65,50.5,2022-10-16,16:48:04,320.58
Beef Stew In Red Wine Sauce,american,dash,227.75,96.07,139.91,2022-10-16,20:37:46,463.73
Beef Stir-fry with Snow Peas and Mushrooms,british,paleo,12.1,45.68,1.06,2022-10-16,17:25:33,58.84
Beef Stir-fry with Snow Peas and Mushrooms recipes,chinese,paleo,117.89,113.86,57.65,2022-10-16,17:25:33,289.4
Beef Stroganoff recipes,eastern europe,paleo,109.57,33.41,183.38,2022-10-16,17:30:01,326.36
Beef and Chinese Broccoli Chow Fun Recipe,chinese,vegan,127.79,432.09,139.84,2022-10-16,20:12:40,699.72
Beef and Mushroom Cobbler,french,dash,88.64,129.87,94.59,2022-10-16,20:36:25,313.1
Beef and Vegetable Kabob,middle eastern,dash,98.58,18.15,87.59,2022-10-16,20:34:25,204.32
Beef and Vegetable Shish Kebabs Recipe,middle eastern,mediterranean,168.59,57.28,183.82,2022-10-16,16:47:58,409.69
"Beef, cream cheese & shredded cheese",american,keto,169.13,7.26,239.23,2022-10-16,18:09:18,415.62
Beefless Ground Beef,american,vegan,41.35,11.42,32.61,2022-10-16,20:09:50,85.38
Beefless Vegan Tacos,american,vegan,57.67,132.69,72.92,2022-10-16,20:02:56,263.28
Beefy Mediterranean Soup,american,mediterranean,99.92,40.15,108.74,2022-10-16,16:53:12,248.81
Beer-Braised Pork Chops with Pears and Apples Recipe,american,dash,172.36,144.92,123.38,2022-10-16,20:30:17,440.66
Beet Jerky recipes,american,vegan,15.59,69.3,0.97,2022-10-16,20:04:37,85.86
Beet Pizza with Caramelized Onions and Goat Cheese,italian,dash,35.43,159.53,72.93,2022-10-16,20:35:38,267.89
Beet Reuben,american,dash,39.57,57.94,91.25,2022-10-16,20:36:52,188.76
Beet Spinach Salad (Mint And Raspberries),middle eastern,dash,9.9,59.34,55.7,2022-10-16,20:37:40,124.94
Beet Tartare,french,vegan,27.2,108.07,62.82,2022-10-16,20:09:50,198.09
Beet and Citrus Salad With Pine Nut Vinaigrette Recipe,american,vegan,24.74,156.71,107.6,2022-10-16,20:07:59,289.05
Beet and Hearts of Palm Salad Recipe,mediterranean,dash,20.58,34.45,14.46,2022-10-16,20:32:44,69.49
Beetroot & red onion tarte tatin,french,vegan,47.43,319.17,232.71,2022-10-16,20:05:51,599.31
Beetroot & squash Wellingtons with kale pesto,british,vegan,125.44,610.67,332.9,2022-10-16,20:09:09,1069.01
Beetroot Pasta with Mediterranean Flavors,mediterranean,mediterranean,54.14,148.37,47.94,2022-10-16,16:44:56,250.45
Beetroot Tart Tatin,french,vegan,26.4,161.98,184.31,2022-10-16,20:09:09,372.69
"Beetroot, hummus & crispy chickpea sub sandwich",mediterranean,vegan,59.07,262.48,42.64,2022-10-16,20:05:24,364.19
"Beets, Tahini, Flatbread + Lentils",mediterranean,dash,98.37,354.82,75.16,2022-10-16,20:40:24,528.35
Begedil Keto Potato Patties recipes,eastern europe,keto,20.34,28.74,70.27,2022-10-16,18:03:45,119.35
Beluga Lentil Caviar on Blini,eastern europe,vegan,49.59,180.15,91.1,2022-10-16,20:03:37,320.84
Berry Chocolate (Antioxidant) Heaven,american,paleo,29.87,352.58,92.19,2022-10-16,17:25:47,474.64
Berry-Mandarin Tossed Salad,french,dash,34.25,196.26,140.0,2022-10-16,20:39:50,370.51
Berrylicious Sour Cream Pie,american,dash,26.11,448.18,89.37,2022-10-16,20:38:47,563.66
Best Easy Salsa Chicken Recipe to Prepare Ahead of Time recipes,mexican,paleo,169.37,36.63,87.69,2022-10-16,17:23:46,293.69
Best Ever Bars,american,paleo,62.76,194.9,266.67,2022-10-16,17:21:18,524.33
Best Ever Gluten Free Veggie Supreme Pizza recipes,italian,mediterranean,202.68,347.95,223.18,2022-10-16,16:48:51,773.81
Best Ever Turkey Chili,american,dash,135.54,135.43,67.71,2022-10-16,20:40:24,338.68
"Best Keto & Paleo Tortillas, Taco Shells & Nachos recipes",mexican,keto,57.32,98.71,161.51,2022-10-16,18:08:44,317.54
"Best Keto & Paleo Tortillas, Taco Shells & Nachos recipes",mexican,paleo,57.32,98.71,161.51,2022-10-16,17:30:14,317.54
Best Keto Cabbage Salad Recipe,middle eastern,keto,80.7,32.89,123.75,2022-10-16,18:04:12,237.34
Best Keto Tuna Salad recipes,american,keto,46.47,3.3,43.75,2022-10-16,18:03:32,93.52
Best Low-Carb Keto Meatballs,american,keto,135.58,26.91,162.06,2022-10-16,18:03:05,324.55
Best Paleo Chili,american,paleo,193.11,83.93,227.24,2022-10-16,17:20:36,504.28
Best Tuna Salad,mediterranean,dash,77.94,41.53,30.14,2022-10-16,20:35:52,149.61
Best veggie stir fry,chinese,vegan,46.21,246.43,202.85,2022-10-16,20:11:25,495.49
Best-Ever Guacamole,mexican,dash,14.17,68.1,88.94,2022-10-16,20:35:59,171.21
Best-Ever Keto Quesadillas,mexican,keto,275.81,42.37,348.36,2022-10-16,17:58:23,666.54
Best-Ever Keto Tortillas,mexican,keto,35.92,44.49,64.82,2022-10-16,17:58:23,145.23
Best-Ever Vegan Mac & Cheese,american,vegan,134.86,514.32,144.12,2022-10-16,20:06:52,793.3
Best-Ever Vegan Meatballs,american,vegan,35.95,114.25,28.96,2022-10-16,20:05:31,179.16
Between The Sheets Cocktail Recipe,world,dash,0.15,12.12,0.1,2022-10-16,20:30:30,12.37
Big Batch Mediterranean Herb Rub,american,mediterranean,9.75,31.85,4.29,2022-10-16,16:45:10,45.89
Big Blue Buffalo Jala' Poppers,american,dash,43.99,78.68,45.7,2022-10-16,20:38:07,168.37
Big Daddy's Sloppy Joe Burgers,american,dash,117.28,164.56,118.84,2022-10-16,20:36:46,400.68
Big Mama's Nacho Dip,american,dash,135.46,118.26,161.92,2022-10-16,20:40:17,415.64
"Big Quesadillas with Refried Beans, Spinach, and Avocado",mexican,vegan,51.06,204.95,54.93,2022-10-16,20:05:58,310.94
Birds Eye® Greek Veggie & Hummus Wrap,mediterranean,mediterranean,147.3,594.51,227.82,2022-10-16,16:46:37,969.63
Biriyani,indian,dash,284.38,496.15,245.96,2022-10-16,20:29:27,1026.49
